iter	Logloss
0	0.6816398219
1	0.6733486778
2	0.6652068088
3	0.6513234189
4	0.6407414487
5	0.6278124358
6	0.6184671804
7	0.6111162587
8	0.6030522397
9	0.5945926465
10	0.588145507
11	0.5778490368
12	0.5698185971
13	0.5634946321
14	0.5579880162
15	0.5528020357
16	0.5456054085
17	0.540136789
18	0.5325864491
19	0.5246446509
20	0.5174505334
21	0.5103606174
22	0.5047390586
23	0.5010908026
24	0.4951160832
25	0.4869659825
26	0.4809467918
27	0.4748148667
28	0.4695388894
29	0.4641840081
30	0.4595372049
31	0.4540817863
32	0.450338464
33	0.4430871763
34	0.4397373701
35	0.4328369843
36	0.4276440771
37	0.4249621943
38	0.4209827373
39	0.4172341698
40	0.4121584641
41	0.4085954867
42	0.4047369204
43	0.4017078751
44	0.3963920443
45	0.391819452
46	0.387307418
47	0.3834931725
48	0.379880604
49	0.3770849328
50	0.3733357881
51	0.3702960767
52	0.3658198306
53	0.3622055054
54	0.3579032547
55	0.3543247424
56	0.3508075664
57	0.3478653807
58	0.3434930099
59	0.3403853366
60	0.3376242236
61	0.3352778585
62	0.3322057222
63	0.3298651043
64	0.3271578739
65	0.3250240527
66	0.3216049546
67	0.3184902292
68	0.3159210807
69	0.3132535031
70	0.309343087
71	0.3071980225
72	0.3029675986
73	0.2996744357
74	0.2965878938
75	0.2939954055
76	0.2909432712
77	0.2879854754
78	0.2855682624
79	0.2835673031
80	0.2814284124
81	0.2776992196
82	0.275105125
83	0.2726330004
84	0.2702133781
85	0.2672733508
86	0.2649598875
87	0.2624717512
88	0.2604037084
89	0.2573133268
90	0.2558050407
91	0.2539931849
92	0.2523252086
93	0.250561413
94	0.2489820531
95	0.2467135379
96	0.2450310055
97	0.2435311769
98	0.2416186835
99	0.2404057854
